Entry	Entry Name	Gene Ontology IDs
A0A087X1C5	CP2D7_HUMAN	GO:0005506; GO:0005737; GO:0005739; GO:0006082; GO:0006805; GO:0008395; GO:0016021; GO:0016712; GO:0019369; GO:0020037; GO:0042178; GO:0043231; GO:0070330
A0A0B4J2F0	PIOS1_HUMAN	GO:0006986; GO:0031307; GO:1900101
A0A0B4J2F2	SIK1B_HUMAN	GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556; GO:0042149; GO:0106310
A0A0C5B5G6	MOTSC_HUMAN	GO:0001649; GO:0003677; GO:0005615; GO:0005634; GO:0005739; GO:0006357; GO:0032147; GO:0033687; GO:0043610; GO:0048630; GO:0071902; GO:0072522; GO:0140297; GO:2001145
A0A0K2S4Q6	CD3CH_HUMAN	GO:0004888; GO:0005576; GO:0005886; GO:0016021; GO:0030593
A0A0U1RRE5	NBDY_HUMAN	GO:0000932; GO:0000956; GO:0006397; GO:0010607
A0A1B0GTW7	CIROP_HUMAN	GO:0004222; GO:0005737; GO:0006508; GO:0007155; GO:0008233; GO:0016021; GO:0046872; GO:0061966
A0A5B9	TRBC2_HUMAN	GO:0002250; GO:0003823; GO:0005886; GO:0006910; GO:0006911; GO:0006958; GO:0009897; GO:0016021; GO:0034987; GO:0042105; GO:0042571; GO:0042742; GO:0045087; GO:0046631; GO:0050852; GO:0050853; GO:0050871
A0AV02	S12A8_HUMAN	GO:0006884; GO:0015379; GO:0016021; GO:0055064; GO:0055075; GO:1902476; GO:1990573
A0AV96	RBM47_HUMAN	GO:0002244; GO:0003723; GO:0003729; GO:0005634; GO:0016554
A0AVF1	IFT56_HUMAN	GO:0005813; GO:0005929; GO:0007224; GO:0015031; GO:0030992; GO:0035082; GO:0035720; GO:0035735; GO:0036064; GO:0042073; GO:0043005; GO:0060271; GO:0061512; GO:0097542; GO:0097546; GO:0120170; GO:1905198
